"Timestamp","Action","MediaType","OldPath","NewPath","Reason"
"2026-03-19T14:01:11.4667008-06:00","skip","movie","U:\Bridget and Mary Jo\AngelsRevenge.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: AngelsRevenge"
"2026-03-19T14:01:12.4905199-06:00","skip","movie","U:\Bridget and Mary Jo\BoyWhoDidntListen.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: BoyWhoDidntListen"
"2026-03-19T14:01:13.3026873-06:00","skip","movie","U:\Bridget and Mary Jo\BuyingFood.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: BuyingFood"
"2026-03-19T14:01:14.0886945-06:00","skip","movie","U:\Bridget and Mary Jo\CampbellsSoupMagicShelf.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: CampbellsSoupMagicShelf"
"2026-03-19T14:01:14.8546825-06:00","skip","movie","U:\Bridget and Mary Jo\CindyGoesToAParty.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: CindyGoesToAParty"
"2026-03-19T14:01:15.5958943-06:00","skip","movie","U:\Bridget and Mary Jo\ConsumingWomen.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: ConsumingWomen"
"2026-03-19T14:01:16.7883477-06:00","skip","movie","U:\Bridget and Mary Jo\DevilGirlFromMars.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: DevilGirlFromMars"
"2026-03-19T14:01:17.4983399-06:00","skip","movie","U:\Bridget and Mary Jo\DutiesOfASecretary.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: DutiesOfASecretary"
"2026-03-19T14:01:18.4106293-06:00","skip","movie","U:\Bridget and Mary Jo\HaveAMJChristmasAndABridgetNewYear.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: HaveAMJChristmasAndABridgetNewYear"
"2026-03-19T14:01:19.3074492-06:00","skip","movie","U:\Bridget and Mary Jo\ImproveYourPronunciation.mpg","","IMDb lookup failed: IMDb search returned no tt id for query: ImproveYourPronunciation"
"2026-03-19T14:01:20.3479777-06:00","skip","movie","U:\Bridget and Mary Jo\Katy.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: Katy"
"2026-03-19T14:01:21.8193894-06:00","skip","movie","U:\Bridget and Mary Jo\LastWomanOnEarth.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: LastWomanOnEarth"
"2026-03-19T14:01:22.6897500-06:00","skip","movie","U:\Bridget and Mary Jo\LifeInTheSuburbs.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: LifeInTheSuburbs"
"2026-03-19T14:01:24.0680844-06:00","skip","movie","U:\Bridget and Mary Jo\OnGuardBunco.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: OnGuardBunco"
"2026-03-19T14:01:25.5315383-06:00","skip","movie","U:\Bridget and Mary Jo\Phoebe.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: Phoebe"
"2026-03-19T14:01:26.4252433-06:00","skip","movie","U:\Bridget and Mary Jo\Prom-ItsAPleasure.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: PromItsAPleasure"
"2026-03-19T14:01:27.1455537-06:00","skip","movie","U:\Bridget and Mary Jo\ShapesWeLiveWith.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: ShapesWeLiveWith"
"2026-03-19T14:01:28.3341877-06:00","skip","movie","U:\Bridget and Mary Jo\SheDemons.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: SheDemons"
"2026-03-19T14:01:29.6027647-06:00","skip","movie","U:\Bridget and Mary Jo\SherlockHolmes-TerrorByNight.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: SherlockHolmesTerrorByNight"
"2026-03-19T14:01:30.3880480-06:00","skip","movie","U:\Bridget and Mary Jo\SherlockHolmesDressedToKill.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: SherlockHolmesDressedToKill"
"2026-03-19T14:01:31.3029897-06:00","skip","movie","U:\Bridget and Mary Jo\SherlockHolmesWomanInGreen.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: SherlockHolmesWomanInGreen"
"2026-03-19T14:01:31.9904056-06:00","skip","movie","U:\Bridget and Mary Jo\SocialAcceptability.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: SocialAcceptability"
"2026-03-19T14:01:32.7544562-06:00","skip","movie","U:\Bridget and Mary Jo\SqueakTheSquirrel.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: SqueakTheSquirrel"
"2026-03-19T14:01:34.3208813-06:00","skip","movie","U:\Bridget and Mary Jo\TheSnob.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: TheSnob"
"2026-03-19T14:01:35.6805012-06:00","skip","movie","U:\Bridget and Mary Jo\TheSpringCollection.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: TheSpringCollection"
"2026-03-19T14:01:37.0124428-06:00","skip","movie","U:\Bridget and Mary Jo\VacationDays.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: VacationDays"
"2026-03-19T14:01:38.1825706-06:00","skip","movie","U:\Bridget and Mary Jo\WordToTheWives.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: WordToTheWives"
"2026-03-19T14:01:39.4854398-06:00","skip","movie","U:\Christmas\AChristmasDream_high.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: AChristmasDream"
"2026-03-19T14:01:40.4832302-06:00","skip","movie","U:\Christmas\BeyondChristmas.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: BeyondChristmas"
"2026-03-19T14:01:41.5581271-06:00","skip","movie","U:\Christmas\BridgetAndMaryJoChristmas2016.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: B r i d g e t A n d M a r y J o C h r i s t m a s2016"
"2026-03-19T14:01:42.6111761-06:00","skip","movie","U:\Christmas\ChristmasDream.mpeg","","IMDb lookup failed: IMDb search returned no tt id for query: ChristmasDream"
"2026-03-19T14:01:43.5252423-06:00","skip","movie","U:\Christmas\ChristmasToyshop.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: ChristmasToyshop"
"2026-03-19T14:01:44.2145353-06:00","skip","movie","U:\Christmas\ChristmasWithRiffTrax-MagicChristmasTree.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: ChristmasWithRiffTraxMagicChristmasTree"
"2026-03-19T14:01:45.0939449-06:00","skip","movie","U:\Christmas\ChristmasWithRiffTrax-SantasVillageOfMadness.mpeg","","IMDb lookup failed: IMDb search returned no tt id for query: ChristmasWithRiffTraxSantasVillageOfMadness"
"2026-03-19T14:01:46.5707460-06:00","skip","movie","U:\Christmas\Nestor_Tablet.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: Nestor"
"2026-03-19T14:01:47.8088950-06:00","skip","movie","U:\Christmas\NightBeforeChristmas.mpg","","IMDb lookup failed: IMDb search returned no tt id for query: NightBeforeChristmas"
"2026-03-19T14:01:48.6624650-06:00","skip","movie","U:\Christmas\Rifftrax-LiveChristmasShow.wmv","","IMDb lookup failed: IMDb search returned no tt id for query: RifftraxLiveChristmasShow"
"2026-03-19T14:01:49.6129417-06:00","skip","movie","U:\Christmas\RiffTraxLive - SantaConquersTheMartians.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: RiffTraxLiveSantaConquersTheMartians"
"2026-03-19T14:01:50.8248734-06:00","skip","movie","U:\Christmas\Rudolph.mpg","","IMDb lookup failed: IMDb search returned no tt id for query: Rudolph"
"2026-03-19T14:01:52.1874883-06:00","skip","movie","U:\Christmas\Santa And The Ice Cream Bunny - Rifftrax.mpg","","IMDb lookup failed: IMDb search returned no tt id for query: SantaAndTheIceCreamBunny"
"2026-03-19T14:01:52.9431687-06:00","skip","movie","U:\Christmas\SantaPunchAndJudy.mpg","","IMDb lookup failed: IMDb search returned no tt id for query: SantaPunchAndJudy"
"2026-03-19T14:01:54.2391077-06:00","skip","movie","U:\Combined\300.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: 300"
"2026-03-19T14:01:55.6234885-06:00","skip","movie","U:\Combined\Aeon Flux 2005 1080p 6ch 2ch.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: A e o n F l u x 2005 1080p 6c h 2c h"
"2026-03-19T14:01:56.2291092-06:00","skip","movie","U:\Combined\Alien 1979 1080p 6ch 2ch v2.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: A l i e n 1979 1080p 6c h 2c h v2"
"2026-03-19T14:01:57.4309212-06:00","skip","movie","U:\Combined\Anaconda 1080p 6ch 2ch.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: A n a c o n d a 1080p 6c h 2c h"
"2026-03-19T14:01:58.5720742-06:00","skip","movie","U:\Combined\Batman & Robin.avi","","IMDb lookup failed: IMDb search returned no tt id for query: B a t m a n & R o b i n"
"2026-03-19T14:02:01.0104671-06:00","skip","movie","U:\Combined\Batman V Superman Dawn Of Justice Theatrical 2016 1080p 6ch 2ch.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: B a t m a n V S u p e r m a n D a w n O f J u s t i c e T h e a t r i c a l 2016 1080p 6c h 2c h"
"2026-03-19T14:02:02.8679687-06:00","skip","movie","U:\Combined\Battlefield Earth 2000 1080p 6ch 2ch.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: B a t t l e f i e l d E a r t h 2000 1080p 6c h 2c h"
"2026-03-19T14:02:03.7458520-06:00","skip","movie","U:\Combined\Beowulf.2007.1080p.Rifftrax.6ch.2ch.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: B e o w u l f 2007 1080p R i f f t r a x 6c h 2c h"
"2026-03-19T14:02:05.7154732-06:00","skip","movie","U:\Combined\Captain America The First Avenger 2011 1080p 6ch 2ch.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: C a p t a i n A m e r i c a T h e F i r s t A v e n g e r 2011 1080p 6c h 2c h"
"2026-03-19T14:02:07.3485757-06:00","skip","movie","U:\Combined\Casablanca.avi","","IMDb lookup failed: IMDb search returned no tt id for query: Casablanca"
"2026-03-19T14:02:08.0328229-06:00","skip","movie","U:\Combined\Casino Royale 2006 1080p 6ch 2ch v2.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: C a s i n o R o y a l e 2006 1080p 6c h 2c h v2"
"2026-03-19T14:02:10.0165516-06:00","skip","movie","U:\Combined\Cats.2019.1080p.Rifftrax.6ch.x265.HEVC.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: C a t s 2019 1080p R i f f t r a x 6c h x265 H E V C"
"2026-03-19T14:02:11.7369448-06:00","skip","movie","U:\Combined\Clash Of The Titans 2010 1080p 6ch 2ch.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: C l a s h O f T h e T i t a n s 2010 1080p 6c h 2c h"
"2026-03-19T14:02:12.9136397-06:00","skip","movie","U:\Combined\Cloverfield.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: Cloverfield"
"2026-03-19T14:02:14.9952728-06:00","skip","movie","U:\Combined\Cobra.1986.1080p.Rifftrax.6ch.x265.HEVC.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: C o b r a 1986 1080p R i f f t r a x 6c h x265 H E V C"
"2026-03-19T14:02:16.4985685-06:00","skip","movie","U:\Combined\Daredevil.avi","","IMDb lookup failed: IMDb search returned no tt id for query: Daredevil"
"2026-03-19T14:02:17.6949240-06:00","skip","movie","U:\Combined\Dragon Wars D-War.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: DragonWarsDWar"
"2026-03-19T14:02:19.4487788-06:00","skip","movie","U:\Combined\Dune.2021.1080p.Rifftrax.6ch.x265.HEVC.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: D u n e 2021 1080p R i f f t r a x 6c h x265 H E V C"
"2026-03-19T14:02:21.7625046-06:00","skip","movie","U:\Combined\Eragon 2006.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: E r a g o n 2006"
"2026-03-19T14:02:24.0776728-06:00","skip","movie","U:\Combined\Fast And Furious 2009.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: F a s t A n d F u r i o u s 2009"
"2026-03-19T14:02:25.5923301-06:00","skip","movie","U:\Combined\Gravity 2013.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: G r a v i t y 2013"
"2026-03-19T14:02:26.5902745-06:00","skip","movie","U:\Combined\Halloween 1978.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: H a l l o w e e n 1978"
"2026-03-19T14:02:27.4070372-06:00","skip","movie","U:\Combined\Highlander Dual Audio.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: HighlanderDualAudio"
"2026-03-19T14:02:28.8092288-06:00","skip","movie","U:\Combined\I Am Legend.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: IAmLegend"
"2026-03-19T14:02:30.5998983-06:00","skip","movie","U:\Combined\Independence Day 1996.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: I n d e p e n d e n c e D a y 1996"
"2026-03-19T14:02:33.6244999-06:00","skip","movie","U:\Combined\Jaws.1975.1080p.Rifftrax.6ch.2ch.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: J a w s 1975 1080p R i f f t r a x 6c h 2c h"
"2026-03-19T14:02:35.4177232-06:00","skip","movie","U:\Combined\Krull.1983.1080p.Rifftrax.6ch.x265.HEVC.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: K r u l l 1983 1080p R i f f t r a x 6c h x265 H E V C"
"2026-03-19T14:02:37.1818423-06:00","skip","movie","U:\Combined\Lost Boys.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: LostBoys"
"2026-03-19T14:02:39.2855494-06:00","skip","movie","U:\Combined\Money.Plane.2020.1080p.Rifftrax.6ch.x265.HEVC.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: M o n e y P l a n e 2020 1080p R i f f t r a x 6c h x265 H E V C"
"2026-03-19T14:02:41.0713577-06:00","skip","movie","U:\Combined\Mortal.Kombat.1995.1080p.Rifftrax.6ch.x264.AVC.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: M o r t a l K o m b a t 1995 1080p R i f f t r a x 6c h x264 A V C"
"2026-03-19T14:02:44.8086113-06:00","skip","movie","U:\Combined\Mothra 1961.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: M o t h r a 1961"
"2026-03-19T14:02:45.9073805-06:00","skip","movie","U:\Combined\Next.2007.1080p.Rifftrax.6ch.2ch.v2.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: N e x t 2007 1080p R i f f t r a x 6c h 2c h v2"
"2026-03-19T14:02:47.8766544-06:00","skip","movie","U:\Combined\Oceans Eleven 2001.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: O c e a n s E l e v e n 2001"
"2026-03-19T14:02:49.3778783-06:00","skip","movie","U:\Combined\Over The Top.avi","","IMDb lookup failed: IMDb search returned no tt id for query: OverTheTop"
"2026-03-19T14:02:51.2724616-06:00","skip","movie","U:\Combined\Paranormal Activity.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: ParanormalActivity"
"2026-03-19T14:02:53.3555625-06:00","skip","movie","U:\Combined\Pirates Of The Caribbean Curse Of The Black Pearl 2003.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: P i r a t e s O f T h e C a r i b b e a n C u r s e O f T h e B l a c k P e a r l 2003"
"2026-03-19T14:02:55.8207006-06:00","skip","movie","U:\Combined\Poltergeist 1982 circulatethetapes.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: P o l t e r g e i s t 1982 c i r c u l a t e t h e t a p e s"
"2026-03-19T14:02:57.3269993-06:00","skip","movie","U:\Combined\Predator.avi","","IMDb lookup failed: IMDb search returned no tt id for query: Predator"
"2026-03-19T14:02:58.5051004-06:00","skip","movie","U:\Combined\Ready Player One.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: ReadyPlayerOne"
"2026-03-19T14:03:00.1574145-06:00","skip","movie","U:\Combined\Red Dawn 1984.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: R e d D a w n 1984"
"2026-03-19T14:03:01.6842888-06:00","skip","movie","U:\Combined\Reign Of Fire 2002.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: R e i g n O f F i r e 2002"
"2026-03-19T14:03:02.6953544-06:00","skip","movie","U:\Combined\Road.House.1989.1080p.Rifftrax1-3Riffer.Rifftrax2-Mike.6ch.2ch.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: R o a d H o u s e 1989 1080p R i f f t r a x1 3R i f f e r R i f f t r a x2 M i k e 6c h 2c h"
"2026-03-19T14:03:04.1475904-06:00","skip","movie","U:\Combined\Running Man.avi","","IMDb lookup failed: IMDb search returned no tt id for query: RunningMan"
"2026-03-19T14:03:05.4809747-06:00","skip","movie","U:\Combined\Starship Troopers.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: StarshipTroopers"
"2026-03-19T14:03:07.5571366-06:00","skip","movie","U:\Combined\Street.Fighter.1994.1080p.Rifftrax.6ch.x265.HEVC.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: S t r e e t F i g h t e r 1994 1080p R i f f t r a x 6c h x265 H E V C"
"2026-03-19T14:03:08.8563642-06:00","skip","movie","U:\Combined\The Fifth Element.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: TheFifthElement"
"2026-03-19T14:03:10.4300390-06:00","skip","movie","U:\Combined\The Grudge.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: TheGrudge"
"2026-03-19T14:03:12.7777109-06:00","skip","movie","U:\Combined\The Incredible Hulk Final Round 1978 circulatethetapes.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: T h e I n c r e d i b l e H u l k F i n a l R o u n d 1978 c i r c u l a t e t h e t a p e s"
"2026-03-19T14:03:14.2429603-06:00","skip","movie","U:\Combined\The Island Of Dr Moreau 1996.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: T h e I s l a n d O f D r M o r e a u 1996"
"2026-03-19T14:03:15.8426428-06:00","skip","movie","U:\Combined\The Wizard of Oz (1939).mkv","","IMDb lookup failed: IMDb search returned no tt id for query: T h e W i z a r d o f O z (1939)"
"2026-03-19T14:03:16.6889952-06:00","skip","movie","U:\Combined\The.Happening.2008.1080p.Rifftrax.6ch.x264.AVC.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: T h e H a p p e n i n g 2008 1080p R i f f t r a x 6c h x264 A V C"
"2026-03-19T14:03:17.8608055-06:00","skip","movie","U:\Combined\The.X-Files.Fight.The.Future.1998.1080p.Rifftrax.6ch.2ch.v2.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: T h e X F i l e s F i g h t T h e F u t u r e 1998 1080p R i f f t r a x 6c h 2c h v2"
"2026-03-19T14:03:18.7506821-06:00","skip","movie","U:\Combined\Titanic.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: Titanic"
"2026-03-19T14:03:20.7039624-06:00","skip","movie","U:\Combined\Top.Gun.Maverick.2022.1080p.Rifftrax.6ch.x264.AVC.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: T o p G u n M a v e r i c k 2022 1080p R i f f t r a x 6c h x264 A V C"
"2026-03-19T14:03:21.6844983-06:00","skip","movie","U:\Combined\Wicker Man.avi","","IMDb lookup failed: IMDb search returned no tt id for query: WickerMan"
"2026-03-19T14:03:23.0637718-06:00","skip","movie","U:\Combined\Willy Wonka And The Chocolate Factory 1971.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: W i l l y W o n k a A n d T h e C h o c o l a t e F a c t o r y 1971"
"2026-03-19T14:03:23.9711422-06:00","skip","movie","U:\Combined\Wonder.Woman.1984.2020.1080p.Rifftrax.6ch.x264.AVC.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: W o n d e r W o m a n 1984 2020 1080p R i f f t r a x 6c h x264 A V C"
"2026-03-19T14:03:24.7739596-06:00","skip","movie","U:\Combined\Harry Potter\Harry Potter 1 And The Sorcerers Stone 2001 WizardPeopleDearReader.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: H a r r y P o t t e r 1 A n d T h e S o r c e r e r s S t o n e 2001 W i z a r d P e o p l e D e a r R e a d e r"
"2026-03-19T14:03:25.6913652-06:00","skip","movie","U:\Combined\Harry Potter\Harry Potter 2 And The Chamber Of Secrets 2002.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: H a r r y P o t t e r 2 A n d T h e C h a m b e r O f S e c r e t s 2002"
"2026-03-19T14:03:27.2512639-06:00","skip","movie","U:\Combined\Harry Potter\Harry Potter 3 And The Prisoner Of Azkaban 2004.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: H a r r y P o t t e r 3 A n d T h e P r i s o n e r O f A z k a b a n 2004"
"2026-03-19T14:03:29.0242290-06:00","skip","movie","U:\Combined\Harry Potter\Harry Potter 4 And The Goblet Of Fire 2005.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: H a r r y P o t t e r 4 A n d T h e G o b l e t O f F i r e 2005"
"2026-03-19T14:03:30.5301801-06:00","skip","movie","U:\Combined\Harry Potter\Harry Potter 5 And The Order Of The Phoenix 2007.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: H a r r y P o t t e r 5 A n d T h e O r d e r O f T h e P h o e n i x 2007"
"2026-03-19T14:03:32.4656425-06:00","skip","movie","U:\Combined\Harry Potter\Harry Potter 6 And The Half-Blood Prince 2009.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: H a r r y P o t t e r 6 A n d T h e H a l f B l o o d P r i n c e 2009"
"2026-03-19T14:03:33.5363461-06:00","skip","movie","U:\Combined\Harry Potter\Harry Potter 7 And The Deathly Hallows Part 1 2010.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: H a r r y P o t t e r 7 A n d T h e D e a t h l y H a l l o w s P a r t 1 2010"
"2026-03-19T14:03:35.4170234-06:00","skip","movie","U:\Combined\Harry Potter\Harry Potter 8 And The Deathly Hallows Part 2 2011.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: H a r r y P o t t e r 8 A n d T h e D e a t h l y H a l l o w s P a r t 2 2011"
"2026-03-19T14:03:36.6614610-06:00","skip","movie","U:\Combined\Indianna Jones\Crystal Skull Rifftrax.avi","","IMDb lookup failed: IMDb search returned no tt id for query: CrystalSkull"
"2026-03-19T14:03:38.2686214-06:00","skip","movie","U:\Combined\Indianna Jones\Indiana.Jones.And.The.Temple.Of.Doom.1984.1080p.BluRay.x264.YIFY.mp4","","IMDb lookup failed: IMDb search returned no tt id for query: I n d i a n a J o n e s A n d T h e T e m p l e O f D o o m 1984 1080p B l u R a y x264 Y I F Y"
"2026-03-19T14:03:39.8275209-06:00","skip","movie","U:\Combined\Indianna Jones\Raiders of the Lost Ark-Rifftrax.mkv","","IMDb lookup failed: IMDb search returned no tt id for query: RaidersoftheLostArk"
