ABadgersBadDay,A Badger's Bad Day (1959)
ABoyOfIndia,A Nice Indian Boy (2024)
ACaseOfSpringFever,A Case of Spring Fever (1940)
ADayOfThanksgiving,A Day of Thanksgiving (1951)
Aladdin,Aladdin (2019)
Alcohol,Alcohol (2026)
AngelsRevenge,Angel's Revenge (1986)
AssignmentOuterSpace,Assignment_ Outer Space (1960)
AttackOfThePuppetPeople,Attack of the Puppet People (1958)
AttackOfTheSuperMonsters,Attack of the Super Monsters (1983)
BehaveBernard,"Behave, Bernard! (1983)"
BermudaTriangle,The Bermuda Triangle (1978)
BeyondChristmas,Beyond Christmas in Color (2007)
BillysHelicopterRide[iPod],Billy's Helicopter Ride (1962)
BloodyPitOfHorror,Bloody Pit of Horror (1965)
BoyWhoDidntListen,The Boy Who Didn't Listen (1974)
BrideAndTheBeast,The Bride and the Beast (1958)
BridgetAndMaryJoChristmas2016,RiffTrax Presents_ The Second Annual Bridget and Mary Jo Christmas Special! (2016)
BuffaloRider,Buffalo Rider (1976)
BuyingFood,Buying Food (1950)
CampbellsSoupMagicShelf,Campbells Soup Magic Shelf
ChipmunkFamily,Chipman Family
ChristmasDream,Christmas Dream (2000)
ChristmasToyshop,Christmas Toyshop (1945)
CindyGoesToAParty,Cindy Goes to a Party (1955)
CityOfTheDead,City of the Living Dead (1980)
CleanAndNeatWithHarvAndMarv,Clean and Neat with Harv and Marv (1975)
ConsumingWomen,Consuming Women (1967)
CookingTerms,On Speaking Terms (1997)
CooksAndChefs,Cooks and Chefs (1970)
CorkytheCrow,Corky the Crow (1960)
CountyFair,County Fair (1950)
CourtesyCountsALot,Courtesy Counts a Lot (1976)
CurseOfBigfoot,Curse of Bigfoot (1975)
CyborgCop2,Cyborg Cop (1993)
DangerKeepOut,Danger Keep Out! (1987)
DavidAndHazel,David and Hazel_ A Story in Communication (1964)
DevilGirlFromMars,Devil Girl from Mars (1954)
Dinosaurs,Dinosaurs (2023)
Dinosaurus,Dinosaurus! (1960)
DoubleDragon,Double Dragon (1994)
DuckAndCover,Duck and Cover (1952)
DutiesOfASecretary,Duties of a Secretary (1947)
EarthAngel,Earth Angel
FairyKingOfAr,RiffTrax_ The Fairy King of Ar (2018)
FangsOfTheLivingDead,Fangs of the Living Dead (1969)
FashionHorizons,Fashion Horizons (1940)
FightToWin,Fight to Win (1987)
FistOfFury,Fist of Fury (1972)
FlashThatSmile,Flash That Smile (1984)
FrankensteinIsland,Frankenstein Island (1981)
Friends,Friends (1994)
Friends,Friends (1994)
FrustratingFours,The Frustrating Fours and Fascinating Fives (1953)
Fun in Baloonland,Fun in Balloon Land (1965)
FutureForce,Future Force (1989)
GammeraTheInvincible,Gammera the Invincible (1966)
GettingAngry,Getting Angry (1966)
GhostHouse,Ghost House (2017)
GiantFromTheUnknown,Giant from the Unknown (1958)
GoodbyeWeeds,"Goodbye, Weeds (1946)"
GumbyTheMovie,Gumby_ The Movie (1995)
Guy From Harlem,The Guy from Harlem (1977)
HareAndTheTortoise,The Hare and the Tortoise (1979)
Harry Potter Order of the Phoenix riff,Harry Potter and the Order of the Phoenix (2007)
HaveAMJChristmasAndABridgetNewYear,RiffTrax Presents_ Have a Mary Jo Christmas and a Bridget New Year! (2015)
HawktheSlayer,Hawk the Slayer (1980)
HowToBeCourteousToMaryJo,How to Be Awesome at Your Job (2016)
HowToKeepAJob,How to Keep a Job (1949)
JackAndTheBeanstalk,Jack and the Beanstalk (2009)
JimmyOfTheSafetyPatrol,Jimmy of the Safety Patrol (1950)
JoinHandsLetGo,"Join Hands, Let Go! (1969)"
JoyRide,Joy Ride (2023)
JuanandHisDonkey,Alim and His Donkey (1978)
Kangaroos,Kangaroos (1953)
KarateCop,Karate Cop (1991)
Katy,Katy Wix
KillAndKillAgain,Kill and Kill Again (1981)
KillersFromSpace,Killers from Space (1954)
KingOfKongIsland,King of Devil's Island (2010)
Ladyhawke,Ladyhawke (1985)
LastWomanOnEarth,Last Woman on Earth (1960)
LetsGiveKittyABath,Let's Give Kitty a Bath! (1985)
LifeInTheSuburbs,Life in the Suburbs (2016)
LitterMonster,The Litter Monster (1970)
LycanColony,Lycan Colony (2006)
